ActivityDate,Weekday,Avg_steps,Avg_Distance,Very_Active_mins,Fairly_Active_mins,Light_Active_mins,Sedentary_Active_mins,Calories,Total_active_minutes,Avg_sleep_mins,Avg_awake_mins,sleep_type
2016-04-12,Tuesday,7506,5,27,9,194,750,2439,230,441.0,37.0,Normal
2016-04-13,Wednesday,6103,4,18,14,164,766,2208,196,430.0,41.0,Normal
2016-04-14,Thursday,7626,5,28,18,194,743,2426,240,445.0,34.0,Normal
2016-04-15,Friday,7472,5,18,14,200,777,2317,232,427.0,48.0,Normal
2016-04-16,Saturday,8615,6,32,17,227,710,2494,276,391.0,41.0,Underslept
2016-04-17,Sunday,6530,5,22,17,183,707,2252,222,464.0,45.0,Normal
2016-04-18,Monday,8611,6,31,24,190,743,2497,245,419.0,36.0,Underslept
2016-04-19,Tuesday,9902,7,36,22,227,706,2488,285,409.0,42.0,Underslept
2016-04-20,Wednesday,9148,7,31,18,210,720,2455,259,446.0,30.0,Normal
2016-04-21,Thursday,9698,7,29,19,208,791,2579,257,376.0,33.0,Underslept
2016-04-22,Friday,8377,6,31,19,222,739,2456,273,392.0,34.0,Underslept
2016-04-23,Saturday,11377,8,25,24,290,646,2549,338,430.0,33.0,Normal
2016-04-24,Sunday,7995,6,24,21,205,632,2310,250,487.0,48.0,Overslept
2016-04-25,Monday,9948,7,46,16,218,728,2543,280,395.0,36.0,Underslept
2016-04-26,Tuesday,9290,6,27,23,216,780,2444,266,369.0,31.0,Underslept
2016-04-27,Wednesday,8447,6,16,15,237,707,2391,267,427.0,43.0,Normal
2016-04-28,Thursday,8037,6,23,12,215,757,2369,250,398.0,33.0,Underslept
2016-04-29,Friday,7910,6,17,13,244,716,2269,274,386.0,30.0,Underslept
2016-04-30,Saturday,9354,7,28,25,233,650,2539,286,444.0,50.0,Normal
2016-05-01,Sunday,6956,5,24,12,194,719,2215,230,424.0,64.0,Normal
2016-05-02,Monday,8951,6,26,22,220,743,2401,267,443.0,48.0,Normal
2016-05-03,Tuesday,9830,7,34,19,229,738,2596,281,396.0,43.0,Underslept
2016-05-04,Wednesday,7882,6,14,20,216,711,2481,251,430.0,34.0,Normal
2016-05-05,Thursday,10205,7,23,24,255,760,2577,302,369.0,35.0,Underslept
2016-05-06,Friday,7983,6,20,11,229,733,2286,260,411.0,43.0,Underslept
2016-05-07,Saturday,10389,8,24,27,249,712,2524,300,414.0,36.0,Underslept
2016-05-08,Sunday,7700,5,19,18,217,687,2336,253,442.0,42.0,Normal
2016-05-09,Monday,9744,7,27,15,253,654,2420,294,416.0,26.0,Underslept
2016-05-10,Tuesday,9388,7,30,28,217,725,2529,275,407.0,38.0,Underslept
2016-05-11,Wednesday,8545,6,26,18,217,654,2361,261,438.0,25.0,Normal
2016-05-12,Thursday,3436,2,3,3,98,260,1115,104,442.0,27.0,Normal